,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
728,556,Cascavel Adalberto Mendes da Silva Airport,CAC,SBCA,Cascavel,-25.000299,-53.500702,Brazil,2473,11746,"{'name': 'America/Sao_Paulo', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",32
729,722,Casper Natrona County International Airport,CPR,KCPR,Casper,42.908001,-106.463997,United States,5350,55150,"{'name': 'America/Denver', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'MDT', 'abbrName': 'Mountain Daylight Time', 'isDst': True}",236
730,742,Castaway Island Airport,CST,NFCS,Castaway Island,-17.733299,177.126907,Fiji,-1,2757,"{'name': 'Pacific/Fiji', 'offset': 43200, 'offsetHours': '12:00', 'abbr': '+12', 'abbrName': None, 'isDst': False}",74
731,7390,Castellon Costa Azahar Airport,CDT,LECH,Castellon,40.209721,0.069722,Spain,1145,7652,"{'name': 'Europe/Madrid', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",209
732,3952,Castlegar West Kootenay Regional Airport,YCG,CYCG,Castlegar,49.296379,-117.632004,Canada,1624,3183,"{'name': 'America/Vancouver', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'PDT', 'abbrName': 'Pacific Daylight Time', 'isDst': True}",40
733,815,Castres Mazamet Airport,DCM,LFCK,Castres,43.554958,2.290592,France,787,12697,"{'name': 'Europe/Paris', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",76
734,3228,Castries George F. L. Charles Airport,SLU,TLPC,Castries,14.02022,-60.992901,Saint Lucia,22,19981,"{'name': 'America/St_Lucia', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'AST', 'abbrName': 'Atlantic Standard Time', 'isDst': False}",187
735,4567,Castro Mocopulli Airport,MHC,SCPQ,Castro,-42.346111,-73.71389,Chile,597,2319,"{'name': 'America/Santiago', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': True}",45
736,6084,Cat Cays Airport,CXY,MYCC,Cat Cays,25.554428,-79.275352,Bahamas,10,4806,"{'name': 'America/Nassau', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'EDT', 'abbrName': 'Eastern Daylight Time', 'isDst': True}",17
737,4870,Cat Lake Airport,YAC,CYAC,Cat Lake,51.716667,-91.816666,Canada,1343,1088,"{'name': 'America/Winnipeg', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",40
738,747,Catamarca International Airport,CTC,SANC,Catamarca,-28.593201,-65.7509,Argentina,1522,695,"{'name': 'America/Argentina/Catamarca', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",11
739,745,Catania Fontanarossa Airport,CTA,LICC,Catania,37.466782,15.0664,Italy,39,252098,"{'name': 'Europe/Rome', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",109
740,4319,Catarman National Airport,CRM,RPVF,Catarman,12.483333,124.583336,Philippines,6,102,"{'name': 'Asia/Manila', 'offset': 28800, 'offsetHours': '8:00', 'abbr': 'PST', 'abbrName': None, 'isDst': False}",174
741,2284,Caticlan Boracay Airport,MPH,RPVE,Caticlan,11.92,121.949997,Philippines,16,24255,"{'name': 'Asia/Manila', 'offset': 28800, 'offsetHours': '8:00', 'abbr': 'PST', 'abbrName': None, 'isDst': False}",174
742,583,Catumbela Airport,CBT,FNCT,Catumbela,-12.4791,13.48694,Angola,98,2108,"{'name': 'Africa/Luanda', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'WAT', 'abbrName': 'West Africa Time', 'isDst': False}",7
743,4301,Cauayan Airport,CYZ,RPUY,Cauayan,16.93,121.753059,Philippines,200,2199,"{'name': 'Asia/Manila', 'offset': 28800, 'offsetHours': '8:00', 'abbr': 'PST', 'abbrName': None, 'isDst': False}",174
